,sub,mask,lag,distance,run,data
0,sub-MSC03,dil1,236.4191452590628,1,1,scrubbed
0,sub-MSC03,dil2,-276.026113617621,2,1,scrubbed
0,sub-MSC03,dil3,-694.7931195053103,3,1,scrubbed
0,sub-MSC03,nacc,-54.10078308892449,0,2,scrubbed
0,sub-MSC03,dil1,-510.16911575544356,1,2,scrubbed
0,sub-MSC03,dil2,-898.9764361955037,2,2,scrubbed
0,sub-MSC03,dil3,-1059.1815855895761,3,2,scrubbed
0,sub-MSC03,nacc,-114.5307375442558,0,3,scrubbed
0,sub-MSC03,dil1,-175.38432040249938,1,3,scrubbed
0,sub-MSC03,dil2,-564.4015371414386,2,3,scrubbed
0,sub-MSC03,dil3,-840.2159990139554,3,3,scrubbed
0,sub-MSC03,nacc,-328.7905531714986,0,4,scrubbed
0,sub-MSC03,dil1,-407.570857232305,1,4,scrubbed
0,sub-MSC03,dil2,-684.0375046811517,2,4,scrubbed
0,sub-MSC03,dil3,-818.1196316117175,3,4,scrubbed
0,sub-MSC03,nacc,-55.54152327777766,0,5,scrubbed
0,sub-MSC03,dil1,-103.8179429317169,1,5,scrubbed
0,sub-MSC03,dil2,-305.5042248620976,2,5,scrubbed
0,sub-MSC03,dil3,-327.460862923031,3,5,scrubbed
0,sub-MSC03,nacc,1478.4529270112837,0,6,scrubbed
0,sub-MSC03,dil1,1027.058152473927,1,6,scrubbed
0,sub-MSC03,dil2,12.656158596105222,2,6,scrubbed
0,sub-MSC03,dil3,-296.22289099995123,3,6,scrubbed
0,sub-MSC03,nacc,-202.18925532292243,0,7,scrubbed
0,sub-MSC03,dil1,-104.90018787193986,1,7,scrubbed
0,sub-MSC03,dil2,-255.22414639483364,2,7,scrubbed
0,sub-MSC03,dil3,-161.5852637041333,3,7,scrubbed
0,sub-MSC03,nacc,48.10326480312088,0,8,scrubbed
0,sub-MSC03,dil1,166.16572583951336,1,8,scrubbed
0,sub-MSC03,dil2,-16.55673626346944,2,8,scrubbed
0,sub-MSC03,dil3,-111.27117707628199,3,8,scrubbed
0,sub-MSC04,nacc,134.81736947439478,0,0,scrubbed
0,sub-MSC04,dil1,135.2015060668299,1,0,scrubbed
0,sub-MSC04,dil2,-195.82179032134107,2,0,scrubbed
0,sub-MSC04,dil3,-394.4209433462323,3,0,scrubbed
0,sub-MSC04,nacc,-120.16532818363729,0,1,scrubbed
0,sub-MSC04,dil1,-40.49601912114789,1,1,scrubbed
0,sub-MSC04,dil2,-142.62067939488955,2,1,scrubbed
0,sub-MSC04,dil3,-279.6596713758188,3,1,scrubbed
0,sub-MSC04,nacc,-311.62917087985164,0,2,scrubbed
0,sub-MSC04,dil1,-176.03678975320707,1,2,scrubbed
0,sub-MSC04,dil2,-278.7809174570791,2,2,scrubbed
0,sub-MSC04,dil3,-413.4408283229055,3,2,scrubbed
0,sub-MSC04,nacc,61.41709149438468,0,3,scrubbed
0,sub-MSC04,dil1,-5.64487379128209,1,3,scrubbed
0,sub-MSC04,dil2,-275.70679363136287,2,3,scrubbed
0,sub-MSC04,dil3,-541.8553343520482,3,3,scrubbed
0,sub-MSC04,nacc,-9.042736242941496,0,4,scrubbed
0,sub-MSC04,dil1,25.34887291549201,1,4,scrubbed
0,sub-MSC04,dil2,-199.05528345594576,2,4,scrubbed
0,sub-MSC04,dil3,-396.89362882651955,3,4,scrubbed
0,sub-MSC04,nacc,-73.12864883677739,0,5,scrubbed
0,sub-MSC04,dil1,-16.64043008184479,1,5,scrubbed
0,sub-MSC04,dil2,-369.9540636574219,2,5,scrubbed
0,sub-MSC04,dil3,-595.7274798437653,3,5,scrubbed
0,sub-MSC04,nacc,65.96639819774009,0,6,scrubbed
0,sub-MSC04,dil1,67.62957412809467,1,6,scrubbed
0,sub-MSC04,dil2,-403.2474273021494,2,6,scrubbed
0,sub-MSC04,dil3,-667.1837942882472,3,6,scrubbed
0,sub-MSC04,nacc,-53.3425146586369,0,7,scrubbed
0,sub-MSC04,dil1,-49.95640425372683,1,7,scrubbed
0,sub-MSC04,dil2,-389.7412666278324,2,7,scrubbed
0,sub-MSC04,dil3,-665.2828939062241,3,7,scrubbed
0,sub-MSC04,nacc,-301.30340202632567,0,8,scrubbed
0,sub-MSC04,dil1,-209.81605129896312,1,8,scrubbed
