,x,y,z,prefs
83,27,132,90,-0.6511980731919231
84,27,135,72,-0.12614073255128033
85,27,135,75,0.2353606347795671
86,27,135,78,-0.3201191227190542
87,27,135,81,-0.6972764382062401
88,27,135,84,-0.7774703965231267
89,27,135,87,-0.7209035595719484
90,27,138,72,-0.18792918034620498
91,27,138,75,0.3442144658091275
92,27,138,78,-0.15018618488479885
93,27,138,81,-0.5531334061287193
94,27,138,84,-0.3663241375699664
95,27,138,87,0.11707836161827001
96,27,141,72,-0.5918089662852395
97,27,141,75,0.5291699281539163
98,27,141,78,0.7932581845892661
99,27,141,81,0.42942040083411426
100,27,141,84,0.19168664892661835
101,27,144,75,0.48351459976743905
102,27,144,78,0.4579765224908833
103,24,123,84,-0.49365911270250923
104,24,123,87,-0.4006983689298195
105,24,126,81,-0.5810500426755106
106,24,126,84,-0.410888706462744
107,24,126,87,-0.45225808845372095
108,24,126,90,-0.4962554291812521
109,24,129,78,-0.7477910518563735
110,24,129,81,-0.5957880537599797
111,24,129,84,-0.4921418743531383
112,24,129,87,-0.49755417573975
113,24,129,90,-0.527543540243873
114,24,132,72,-0.5435143953810124
115,24,132,75,-0.35804680070593387
116,24,132,78,-0.25548457459705254
117,24,132,81,-0.47887462378020684
118,24,132,84,-0.5643015279889714
119,24,132,87,-0.5928576449603781
120,24,132,90,-0.49322978897897357
121,24,135,72,-0.17241391413315676
122,24,135,75,-0.22291316042742526
123,24,135,78,-0.08477526375990185
124,24,135,81,-0.7279935489703964
125,24,135,84,0.5104107751199913
126,24,135,87,0.6452400596623371
127,24,135,90,0.32801418474586885
128,24,138,69,-0.13902104070336763
129,24,138,72,-0.24593523574945708
130,24,138,75,0.3720031938698416
131,24,138,78,0.6129747066966208
132,24,138,81,0.5439909060223233
133,24,138,84,0.5926164260514689
134,24,138,87,0.2531935730846396
135,24,138,90,0.2287463142333081
136,24,141,69,-0.19246858928157495
137,24,141,72,0.25070000457277025
138,24,141,75,0.49488153901905974
139,24,141,78,0.6317620650253923
140,24,141,81,0.6286994449000065
141,24,141,84,0.6129961486634719
142,24,141,87,0.20168055705971122
143,24,144,69,-0.6670434257016509
144,24,144,72,0.3563370654407146
145,24,144,75,0.40909416310209873
146,24,144,78,0.5821995189562255
147,24,144,81,0.6526096709468832
148,24,144,84,0.2440299066115409
149,24,147,72,0.13634388684852894
150,24,147,75,0.4374706904067215
151,24,147,78,0.40935685585195525
152,24,147,81,0.2801132588780869
153,21,132,84,0.3300631496595943
154,21,132,87,0.30752936683358023
155,21,135,72,-0.21561236249539661
156,21,135,75,-0.13454410591388882
157,21,135,78,-1.0715181534131546
158,21,135,81,0.5050413323051666
159,21,135,84,0.4234457368273603
160,21,135,87,0.2579886047824905
161,21,138,69,-0.047480904814200975
162,21,138,72,0.19266512156104185
163,21,138,75,0.3288159211771139
164,21,138,78,0.3716694055315976
165,21,138,81,0.4696023445471689
166,21,138,84,0.38360385759310967
167,21,138,87,0.4597084895378296
168,21,141,69,0.02494422433875143
169,21,141,72,0.04978302286738395
170,21,141,75,0.18480770914961384
171,21,141,78,0.3912519535619621
172,21,141,81,0.4930044293972249
173,21,141,84,0.5997628434129174
174,21,144,69,-0.0003036898745526345
175,21,144,72,0.11824373840648239
176,21,144,75,0.42632900661626283
177,21,144,78,0.37841395701986463
178,21,144,81,0.43745155441161293
179,21,147,69,0.16045993085308558
180,21,147,72,0.10199436596916756
181,21,147,75,0.1408940416076132
182,21,147,78,0.21741303338040788
183,21,150,72,0.014520270170659877
184,21,150,75,-0.09839529073267768
185,18,138,66,-0.09652525911686684
186,18,138,69,-0.28825080996720465
187,18,138,72,-0.3661661562278754
188,18,138,75,-0.603194155151734
189,18,138,78,-0.902075337651237
190,18,138,96,0.11236633495888265
191,18,141,66,-0.2781882275690569
192,18,141,69,-0.18893790906318692
193,18,141,72,0.08346437332266926
194,18,141,75,0.024537103978049146
195,18,141,78,0.28721831733939907
196,18,141,93,0.367420619462591
197,18,141,96,0.10549512384189375
198,18,144,69,-0.005691627121620746
199,18,144,72,0.1675204923279294
200,18,144,75,0.3814033638512972
201,18,144,78,0.31068927610533814
202,18,144,90,0.6618728235231139
203,18,144,93,0.2083554125659568
204,18,147,69,0.27943094551949904
205,18,147,72,0.3190766020664785
206,18,147,75,0.21932034576804496
207,18,147,87,0.5623102379752827
208,18,147,90,0.43047710496330505
209,18,150,84,0.44389287373224573
210,18,150,87,0.49949794654110447
211,18,153,78,-0.19042751257292878
